,Dates,Text
0,2021-11-12 10:30:55+00:00,".@markmahaney talks to @karaswisher and @profgalloway about all things stocks, from why Facebook and Amazon are und… https://t.co/a91yE0XQDY"
1,2021-11-12 09:36:09+00:00,"RT @1shankarsharma: My  personal investing mantra is to buy ""4 AM Stocks"". 
 World is sleeping. But a faint bit of light is creeping up at…"
2,2021-11-12 09:06:06+00:00,"@Mohale04 This is the exact same as my 3 stocks I'm holding for 10 years+

Word for word, bar for bar.

My 4th hold… https://t.co/KCWIxTZBaY"
3,2021-11-12 08:43:19+00:00,apple stocks rise by 10%.
4,2021-11-12 08:00:00+00:00,"2nd Gen Pods now only R999 (was R1199!)

Our Pods include a wireless charging case, auto-connects to your iPhone or… https://t.co/7kJmMGVdQ6"
5,2021-11-12 06:45:34+00:00,"https://t.co/GaegOBWCKC: Apple supplier Foxconn's Q3 profit leaps past estimates, boosted by smartphone demand… https://t.co/1zo7f78p8k"
6,2021-11-12 06:40:03+00:00,"RT @WILDERCRYPTOO: Here's how the largest stocks performed this past week🤔

Microsoft $MSFT +1.3%
Apple $AAPL +1%
Google $GOOGL +0.5%
Amazo…"
7,2021-11-12 06:39:02+00:00,"RT @WILDERCRYPTOO: Here's how the largest stocks performed this past week🤔

Microsoft $MSFT +1.3%
Apple $AAPL +1%
Google $GOOGL +0.5%
Amazo…"
8,2021-11-12 06:09:51+00:00,"RT @WILDERCRYPTOO: Here's how the largest stocks performed this past week🤔

Microsoft $MSFT +1.3%
Apple $AAPL +1%
Google $GOOGL +0.5%
Amazo…"
9,2021-11-12 06:00:06+00:00,"By default, Apple preloads some of its native apps onto your iPhone and iPad, but you may find that you don't need… https://t.co/E7EFGti1LM"
10,2021-11-12 05:13:22+00:00,apple stocks rise by 35%.
11,2021-11-12 05:10:30+00:00,"RT @StockMKTNewz: Most active stocks in today's after-hours trading

Citi $C
Discovery $DISCA
Microsoft $MSFT
Paysafe $PSFE
Disney $DIS
$AM…"
12,2021-11-12 05:10:14+00:00,@NancyTracker Isn’t the i car coming and the gurus told us to get rid of all Tesla and buy apple plus a few more tech stocks?
13,2021-11-12 04:15:38+00:00,RT @TheShibMaster: Limited time offer: Open up an account with Webull and get a free stock! Fund it with any amount and get one more! Also…
14,2021-11-12 03:56:25+00:00,Limited time offer: Open up an account with Webull and get a free stock! Fund it with any amount and get one more!… https://t.co/sSz6uRmQ59
15,2021-11-12 03:19:13+00:00,7 Meme Stocks Ready to Regain Their Lost Momentum - Entrepreneur https://t.co/zFrlc33CzF
16,2021-11-12 02:58:41+00:00,Asia stocks rise; https://t.co/nA8n8FFAD0 shares in Hong Kong surge https://t.co/DGeglxX3AK
17,2021-11-12 02:58:39+00:00,"You still must participate in capitalism to earn by doing things like investing in crypto, NFTs, stocks. Don't make… https://t.co/wADfGDxhkA"
18,2021-11-12 02:36:16+00:00,"RT @allareblessed: Stocks making the biggest moves after hours: Lordstown Motors, Luminar and more - CNBC https://t.co/2EEv3gmJcB"
19,2021-11-12 02:30:37+00:00,"@lachlanjc Ooh thanks, cool article, the Apple Music examples were a blast to the past, I kinda miss that design 😂… https://t.co/nBpb1FkvSl"
20,2021-11-12 02:29:46+00:00,"Stocks making the biggest moves after hours: Lordstown Motors, Luminar and more - CNBC https://t.co/2EEv3gmJcB"
21,2021-11-12 01:58:42+00:00,"RT @BristolCorvid: @Suzierizzo1 @TiMoudou Lifetime ban on all commercial airlines; $50,000 fines; no profiting via a “tell-all” book/interv…"
22,2021-11-12 01:34:39+00:00,"Mirion #Tech $MIR, RBC Bearings $ROLL Report #Earnings BMO. Get Earnings Insights, Unusual #Options Activity, Earni… https://t.co/e4ocCvWZpa"
23,2021-11-12 01:32:53+00:00,"RT @BristolCorvid: @Suzierizzo1 @TiMoudou Lifetime ban on all commercial airlines; $50,000 fines; no profiting via a “tell-all” book/interv…"
24,2021-11-12 01:13:18+00:00,apple stocks rise by 20%.
25,2021-11-12 01:05:01+00:00,"Top stocks with TA score trending DOWN (NYSE):
$AGR $CRL $BFAM $HQH $CIF $MS $CTLT $LUB $VCIF $AVLR $RGA $ATGE $IAA… https://t.co/0UPogZeNN8"
26,2021-11-12 01:05:01+00:00,"Top stocks with TA score trending DOWN (AMEX):
$BGI $MSN $MICR $COHN $WRN $THM $GTE $OGEN $ITP $CVU $FEN $IMO $TMQ… https://t.co/UaVSHz8mKZ"
27,2021-11-12 01:05:01+00:00,"Top stocks with TA score trending DOWN (SP500):
$CRL $EQIX $MS $CTLT $BIO $PAYC $GNRC $MHK $TECH $WST $PEG $IDXX… https://t.co/PSYUyFMS3d"
28,2021-11-12 01:01:14+00:00,RT @NahidAlaei: Best Metaverse Penny Stocks To Buy Now? 5 To Watch In 2021 - Entrepreneur https://t.co/SXkMJBRlIn
29,2021-11-12 01:00:40+00:00,Best Momentum Stocks to Buy for November 11th - Entrepreneur https://t.co/B5oIjSD7Iy
30,2021-11-12 01:00:20+00:00,Hitch a Ride in These 2 Accelerating Auto Parts Stocks - Entrepreneur https://t.co/5HzCOKRnKe
