,Dates,Text
0,2021-10-30 07:33:35+00:00,"💥Diwali Stocks 💥

1. ICICI Bank
2. Asian paints
3. Navin fluorine
4. Hero Moto Corp
5. Ultra tech cement
6. Relianc… https://t.co/5AEv9BwGGB"
1,2021-10-30 07:30:19+00:00,RT @UnlistedGuru: Make the Right Investment Decision: Call UnlistedGuru Investment Specialist to Learn More and Invest in the Topmost Liqui…
2,2021-10-30 07:12:05+00:00,"Lot of stocks like Wal-Mart, reliance, ITC remains into consolidation of 10 yr phase due to high valuation 
If Stoc… https://t.co/gGyG31M9Xk"
3,2021-10-30 06:36:06+00:00,"Hertz booked 1 Lac EV with Tesla, making its stocks sore by 13%, and raising Musk's worth by 36 bn $ taking his tot… https://t.co/5OS2LJf2z5"
4,2021-10-30 06:04:40+00:00,"@RTSTOCKVIEW Sir good morning sir I want to know why reliance and hindustan Unilever stocks downside,any recovery possible in November?"
5,2021-10-30 05:02:37+00:00,"@datta_arvind I agree with Arvind sir, buying best stocks in worst times rewards the best. 
Eg: Infy just after whi… https://t.co/kdkJB7va3G"
6,2021-10-30 04:31:33+00:00,Make the Right Investment Decision: Call UnlistedGuru Investment Specialist to Learn More and Invest in the Topmost… https://t.co/qTWrJ6UfJR
7,2021-10-30 03:41:05+00:00,@TreasureHunt_TH My learning is never invest in adag or reliance group stocks. Holding rpower since ipo cheater group.
8,2021-10-29 15:18:36+00:00,"Spring U.S. wheat futures hit 10-yr highs, on idea tight global stocks will soon increase importing countries’ reli… https://t.co/2kVNYl9VzJ"
9,2021-10-29 14:30:38+00:00,"Reliance Jios JioPhone Next to hit stores from this Diwali The phone will be powered by Pragati OS, which Reliance… https://t.co/a7RMHOzVtw"
10,2021-10-29 13:56:59+00:00,Wheat futures overcame lackluster export data on the idea tight global stocks will soon increase importing countrie… https://t.co/0rOjqgH502
11,2021-10-29 13:51:34+00:00,https://t.co/GaegOBWCKC: India's Reliance Jio to launch Google smartphone for about $87 https://t.co/US8R4ukOZJ Joi… https://t.co/YrfzJTHt41
12,2021-10-29 13:50:16+00:00,"RT @VIJAYAK45400293: @PRSundar64 Adnani group
Reliance industries 
Aeronotic
Even good banks stock
Icici
Axis 
Sbin
Seen down trend today…"
13,2021-10-29 13:23:46+00:00,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/qWQlo1EiBK
14,2021-10-29 13:21:23+00:00,"RT @TheDailyPioneer: #BusinessNews : Equity benchmark Sensex tanked 678 points on Friday, tracking losses in index majors Reliance Industri…"
15,2021-10-29 12:44:25+00:00,"RT @TheDailyPioneer: #BusinessNews : Equity benchmark Sensex tanked 678 points on Friday, tracking losses in index majors Reliance Industri…"
16,2021-10-29 12:21:10+00:00,Reliance Jio’s JioPhone Next to hit stores from this Diwali https://t.co/I5Rz63n92q
17,2021-10-29 11:50:53+00:00,"RELIANCE JIO’S JIOPHONE NEXT TO HIT STORES FROM THIS DIWALI

https://t.co/2WjWyLVWsV"
18,2021-10-29 11:40:22+00:00,#pressRelease #NSE #BSE #trading #stocks #stockmarket #PressRelease #RELIANCE - Announcement under Regulation 30 (L… https://t.co/7S3DhbkbE4
19,2021-10-29 11:15:24+00:00,"Todays Stock Market Report
#educateb4trade #stockmarket #daytrader #stockmarketupdates #Dailystockmarketupdates… https://t.co/dwuArlmFx7"
20,2021-10-29 10:42:29+00:00,"@Anshi_________ Stocks forever
IEX
CDSL
BSE
IRCTC
TAMO DVR
TATA POWER
Deepak nitrite
SRF
Laxmi organic 
Happiest mi… https://t.co/pQABCCAldV"
21,2021-10-29 10:34:43+00:00,"#BusinessNews : Equity benchmark Sensex tanked 678 points on Friday, tracking losses in index majors Reliance Indus… https://t.co/4YpTgnniHc"
22,2021-10-29 09:43:53+00:00,"Sensex Stages Recovery After Falling Over 850 Points Led By Metal Stocks

HDFC, Reliance Industries, ICICI Bank, HD… https://t.co/egSlECU63T"
23,2021-10-29 09:33:57+00:00,"#Reliance moved from 2500, and available on good rates for adding portfolio. 
Educational Only.
Join us… https://t.co/n6AVgaZd1R"
24,2021-10-29 09:33:47+00:00,"#Reliance moved from 2500, and available on good rates for adding portfolio. 
Educational Only.
Join us… https://t.co/MfRgSXoiWA"
25,2021-10-29 09:18:55+00:00,"#REL #RELIANCE BOOM BOOM

SHORTED AT 2578.1
LOW MADE SO FAR 2501
LOT SIZE 250

#HADC #INDICATOR

#nifty #nifty50… https://t.co/wsFEX9ZRgY"
26,2021-10-29 08:11:09+00:00,"Reliance, BPCL, Vedanta, UCO Bank, NTPC, Indian Bank, Tata Power, DLF, Shree Cement stocks in focus https://t.co/8701ONj02R"
