,Dates,Text
0,2021-10-30 07:41:56+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
1,2021-10-30 07:40:03+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
2,2021-10-30 07:38:23+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
3,2021-10-30 07:26:17+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
4,2021-10-30 07:25:57+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
5,2021-10-30 07:24:32+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
6,2021-10-30 07:22:02+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
7,2021-10-30 07:05:45+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
8,2021-10-30 07:03:43+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
9,2021-10-30 06:58:30+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
10,2021-10-30 06:52:18+00:00,"RT @KommawarSwapnil: Top Block Chain Technology  Stocks Listed in India 🔗🔗

1. #Tanla Platforms 
2. #Zensar Technologies
3. #TCS
4. #MindTr…"
11,2021-10-30 06:51:56+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
12,2021-10-30 06:37:45+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
13,2021-10-30 06:37:04+00:00,"RT @ayman_ali09: Top 15 evergreen SIP stocks:-

1.#nestle
2.#HDFCBANK
3.#Asianpaints 
4.#UnitedSpirits
5. #GodrejProperties
6.#BajajFinance…"
14,2021-10-30 06:36:17+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
15,2021-10-30 06:34:14+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
16,2021-10-30 06:28:55+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
17,2021-10-30 06:27:44+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
18,2021-10-30 06:18:30+00:00,"Top 15 evergreen SIP stocks:-

1.#nestle
2.#HDFCBANK
3.#Asianpaints 
4.#UnitedSpirits
5. #GodrejProperties
6.… https://t.co/ZzISLxWXZy"
19,2021-10-30 06:17:18+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
20,2021-10-30 06:17:14+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
21,2021-10-30 06:14:25+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
22,2021-10-30 06:11:46+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
23,2021-10-30 06:09:59+00:00,"RT @KommawarSwapnil: Top Block Chain Technology  Stocks Listed in India 🔗🔗

1. #Tanla Platforms 
2. #Zensar Technologies
3. #TCS
4. #MindTr…"
24,2021-10-30 06:09:44+00:00,"RT @KommawarSwapnil: Top Block Chain Technology  Stocks Listed in India 🔗🔗

1. #Tanla Platforms 
2. #Zensar Technologies
3. #TCS
4. #MindTr…"
25,2021-10-30 06:08:48+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
26,2021-10-30 06:06:56+00:00,"RT @Arunstockguru: Top 15 evergreen SIP stocks:-

1..Nestle
2..Hdfc bank
3..Asian paints
4..United Spirits
5..Godrej Properties
6..Bajaj fi…"
